product_name,image_url,price,page
Chrome Spinlock Bar 165cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061911_1061911-NC0_001.jpg",R 549.90,4
Chrome Spinlock Bar 183cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061917_1061917-NC0_001.jpg",R 599.90,4
Chrome Bar 152cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061918_1061918-NC0_001.jpg",R 449.90,4
Chrome Bar 183cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061920_1061920-NC0_001.jpg",R 599.90,4
Chrome Bar 165cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061921_1061921-NC0_001.jpg",R 549.90,4
HS Fitness 20kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185823_1185823-1_001.jpg",R 1149.90,4
Matrix Adjustable Dumbbell Storage Rack,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1186006_1186006-1_001.jpg",R 4999.90,4
HS Fitness 10kg Olympic Rubber Coated Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178026_1178026-blaA_001.jpg",R 899.90,4
Matrix Adjustable Dumbbell (32kg),"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178318_1178318-1_004.jpg",R 7999.90,4
HS Fitness 25Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171587_1171587-svsu_001.jpg",R 1249.90,4
HS Fitness 30Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171588_1171588-svsu_001.jpg",R 1499.90,4
HS Fitness 5kg 50mm Olympic Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1169564_1169564-1_001.jpg",R 299.90,4
HS Fitness 2.5kg - 24kg Adjustable Twist Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1153419_1153419-1_001.jpg",R 2499.90,4
HS Fitness 20kg Dumbbell Set,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1143284_1143284-1_001.jpg",R 899.90,4
HS Fitness Plyobox,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1140390_1140390-NC0_001.jpg",R 5499.90,4
HS Fitness Weighted Sandbag 15kg,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1133461_1133461-1_001.jpg",R 699.90,4
HS Fitness Weighted Sandbag 20kg,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1133462_1133462-1_001.jpg",R 799.90,4
